Words,Stops,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
58,5,1,0,11,0,0,2,4,0,0,0,4,16,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,1,0,2
76,5,0,0,17,1,0,4,6,0,0,0,2,18,2,0,0,0,0,2,0,2,0,0,0,0,4,0,1,0,2,0,1,1,0,2,0,0
75,6,0,0,5,0,0,9,5,0,0,0,1,21,9,0,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,0,0,2,1,0,0,0
46,4,1,0,4,1,0,5,3,0,0,0,3,7,5,0,0,0,0,2,1,3,0,0,0,0,1,0,3,0,0,0,0,2,1,0,0,0
36,7,1,0,2,0,0,5,1,0,0,0,1,3,1,1,0,0,0,3,2,4,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0
92,6,4,2,14,0,0,10,7,1,0,0,2,18,1,0,0,0,0,6,3,7,0,0,0,0,1,0,1,0,1,0,0,5,0,0,0,0
55,4,2,0,7,0,0,8,3,1,1,0,0,12,1,0,0,0,0,2,3,2,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0
39,2,1,0,3,0,0,4,4,0,0,0,1,5,3,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1
29,1,0,0,4,0,0,2,2,0,0,0,1,9,2,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0
135,8,4,0,13,1,0,15,11,0,0,0,6,28,7,0,0,0,0,5,2,5,0,0,4,0,3,0,3,0,0,0,1,4,1,0,0,1
43,4,1,0,5,0,0,4,4,0,0,0,2,4,3,0,0,0,0,5,1,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0
101,5,6,0,12,1,0,7,6,2,0,0,1,22,8,1,0,1,0,1,1,3,0,0,0,0,5,0,2,0,0,0,0,5,0,1,0,0
89,7,2,0,11,1,0,5,6,0,1,0,3,11,2,0,0,0,0,6,1,7,0,1,0,0,5,0,1,0,1,1,2,4,0,2,0,2
164,7,8,0,17,0,0,17,17,2,0,0,4,28,15,0,0,0,0,4,3,7,1,0,1,0,6,0,2,0,0,0,3,3,0,0,0,0
50,5,0,0,4,1,0,7,4,0,0,0,0,10,3,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0
99,4,6,0,13,1,0,7,7,0,0,0,0,23,3,0,0,0,0,3,2,10,0,0,0,0,4,0,0,0,2,0,1,5,0,3,0,0
76,6,0,0,6,0,0,13,7,0,0,0,2,11,9,0,0,0,0,5,1,3,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0
80,4,3,0,14,0,0,13,5,0,0,0,1,24,2,0,0,0,0,4,1,6,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
48,7,0,0,1,0,2,6,1,0,0,0,0,5,4,4,0,0,0,6,1,2,0,0,0,0,2,0,0,0,0,0,3,3,0,2,0,1
69,6,2,0,11,1,0,7,1,0,0,0,3,19,1,0,0,0,0,5,1,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1
67,3,0,1,3,1,0,6,9,0,1,0,1,8,7,0,0,0,0,1,3,2,0,0,2,0,4,0,0,1,0,0,1,0,1,1,0,2
95,6,4,0,8,0,0,7,2,0,0,0,6,14,10,0,0,0,0,6,5,4,0,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0
85,3,3,0,4,0,0,6,5,0,0,0,3,15,5,0,0,0,0,8,4,6,0,0,0,0,5,0,2,0,0,0,2,0,0,1,0,1
73,5,3,0,8,0,0,7,6,0,0,0,2,15,0,0,0,0,0,6,0,5,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0
58,4,1,0,10,0,1,2,5,0,0,0,1,12,3,0,0,0,0,2,0,2,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,1
44,4,0,1,8,1,0,4,3,0,0,0,1,11,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0
48,5,0,0,3,0,0,2,3,0,0,0,2,8,4,0,0,0,0,3,3,4,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0
64,4,2,0,7,0,0,5,2,1,0,0,1,12,6,1,0,0,0,3,4,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
