Words,Stops,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
68,5,1,0,6,1,0,5,4,0,0,0,4,9,6,0,0,0,0,4,3,3,0,0,0,0,4,0,3,1,0,0,0,0,0,1,0,1
146,7,5,0,21,2,0,15,9,0,0,0,9,26,8,0,0,0,0,4,1,10,1,1,0,0,6,0,4,0,0,0,2,3,0,2,0,0
70,5,2,0,6,0,0,8,17,0,0,0,1,15,8,1,0,0,0,2,0,4,0,0,0,0,2,0,3,0,0,0,1,2,0,0,0,0
135,8,4,0,9,0,0,11,11,2,0,0,5,9,12,1,0,0,0,11,3,15,0,0,1,0,3,0,3,0,1,0,4,4,0,1,0,0
47,3,1,0,8,0,0,8,1,0,0,0,1,11,1,1,0,0,0,1,2,3,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0
73,9,1,0,8,0,0,4,5,0,0,0,4,13,0,0,0,0,0,9,1,6,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2
37,4,0,1,5,1,0,4,2,0,0,0,0,8,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0
123,7,5,0,19,1,0,6,10,0,0,0,11,31,4,1,0,0,0,2,0,2,0,0,0,0,4,0,5,1,0,0,1,1,1,0,0,1
24,1,0,0,2,0,0,2,2,0,0,0,2,3,2,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0
193,8,8,2,20,0,0,19,14,2,1,0,4,35,13,0,0,0,0,11,1,14,0,0,2,0,11,0,2,0,1,1,0,6,0,1,0,0
76,4,3,2,11,0,0,8,4,0,0,0,3,15,2,1,0,0,0,5,0,5,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0
70,5,4,0,5,0,0,6,5,0,0,0,1,20,7,0,0,0,0,1,2,2,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0
68,6,2,2,10,1,0,8,6,0,0,0,3,8,5,0,0,0,0,2,0,7,0,0,0,0,2,0,1,0,0,0,2,2,0,0,0,1
89,4,2,0,8,2,0,10,13,0,0,0,3,13,3,0,0,0,0,5,0,3,1,0,0,0,4,0,3,0,0,0,2,6,0,0,0,1
63,4,3,0,4,1,0,6,6,2,0,0,0,6,7,0,0,0,0,3,1,5,0,0,0,0,1,0,0,0,0,1,1,4,1,0,0,0
65,4,3,1,10,2,0,5,7,0,1,0,0,15,2,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0
116,7,2,1,17,0,0,13,10,0,1,0,6,20,5,0,0,1,0,4,1,7,0,0,0,0,5,0,4,1,1,0,0,1,0,0,0,0
97,5,5,1,14,0,0,8,8,0,0,0,0,18,6,0,0,0,0,2,0,8,0,0,0,0,3,0,1,0,0,0,1,0,0,2,0,0
94,5,1,0,10,0,0,12,7,0,0,0,3,16,2,0,0,0,0,10,3,8,0,0,0,0,2,0,1,0,0,0,2,3,0,1,0,3
99,5,2,1,11,1,0,9,5,2,0,0,3,15,3,3,0,0,0,2,1,10,1,0,0,0,3,0,1,0,2,0,1,5,2,0,0,0
161,5,6,1,17,3,0,14,19,0,0,0,5,21,16,2,0,0,0,3,0,8,0,0,1,0,8,0,4,0,1,1,3,1,1,3,0,1
250,13,6,1,15,1,0,24,20,3,0,0,16,36,22,0,0,0,0,13,10,14,1,0,2,0,10,0,8,1,0,0,1,3,6,0,0,0
118,7,3,0,14,2,0,10,5,0,0,0,2,18,4,1,0,1,0,8,2,15,1,0,0,0,3,0,2,0,0,0,1,2,1,0,0,1
59,5,2,1,8,0,0,4,1,0,0,0,3,12,2,0,0,0,0,3,0,6,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
82,5,3,0,7,0,0,7,9,0,0,0,1,9,7,2,0,0,0,5,0,3,1,0,0,0,3,0,0,0,0,0,3,3,2,0,0,1
59,6,2,0,4,3,0,6,5,0,0,0,3,8,10,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,2,1,0,0,0,1
58,4,3,0,4,1,0,7,8,0,0,0,2,12,7,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,2
81,6,3,0,11,1,0,5,4,1,0,0,2,14,4,0,0,1,0,6,1,1,0,0,2,0,2,0,0,0,0,1,1,3,0,2,0,0
152,6,3,1,21,1,0,10,6,0,0,0,7,27,3,1,0,1,0,10,0,9,0,0,0,0,8,0,4,1,0,0,1,4,1,3,0,2
87,3,3,1,9,0,0,10,8,0,0,0,5,16,4,0,0,0,0,4,4,2,0,0,0,0,2,0,3,0,0,0,1,4,2,2,0,0
139,7,3,1,13,0,0,14,10,0,0,0,3,23,7,5,0,1,0,5,2,14,0,0,0,0,8,0,3,0,0,0,2,0,0,3,0,2
159,6,5,2,24,0,0,23,23,1,0,0,5,34,14,0,0,0,0,1,3,3,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1
66,5,1,2,9,0,0,7,5,0,0,0,2,11,7,1,0,0,0,2,0,2,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0
93,5,3,0,13,1,0,9,6,0,0,0,0,22,5,1,0,1,0,2,2,3,1,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0
112,4,4,3,14,0,0,14,9,0,0,0,3,19,1,1,0,0,0,8,0,8,0,0,1,0,2,0,2,0,0,0,0,2,0,0,0,2
91,5,3,0,9,0,0,8,4,0,0,0,3,20,6,5,0,0,0,3,3,4,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0
137,6,8,0,7,0,0,17,9,1,0,0,7,15,6,1,0,1,0,11,3,14,1,0,2,0,5,0,5,2,0,1,0,2,1,2,0,0
37,3,1,0,7,0,0,4,3,0,0,0,0,10,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
107,3,5,0,13,0,0,12,6,0,0,0,1,17,12,0,0,0,0,3,2,6,0,0,1,0,7,0,0,2,0,0,0,2,0,0,0,1
56,6,1,0,9,1,0,4,3,0,0,0,2,16,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2
132,11,5,0,17,0,0,8,9,0,0,0,3,36,4,0,0,0,0,4,1,10,0,0,0,0,3,0,2,0,1,0,0,12,1,1,0,2
48,4,1,0,7,0,0,2,1,0,0,0,3,7,2,0,0,0,0,0,1,2,0,0,0,0,4,0,2,0,0,0,0,0,1,2,0,0
63,4,3,0,13,0,0,7,2,0,0,0,2,18,0,1,0,0,0,1,0,2,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0
