Data;staus
My best friend is so warm and inviting. The first time I met her I felt like I had known her forever. I told her my life story, that's how comfortable I felt talking to her. She has the nicest smile and the funniest laugh!She has been there for me during good times and bad...she held my heart when it was broken when my son died and then again when I found out I had cancer. She dropped everything and came to be with me both times even tho' she was having problems of her own. I love this girl with all my heart. ;Positive
My best friend Josh and I spend almost everyday together. We talk about everything together from politics to meaningless nonsense. He can always make me smile, even if I am in the worst mood. One day, Josh bought me a set of paintbrushes to surprise me on a bad day. ;Positive
My best friend is a loveable, adorable geek.  She manages to make getting yogurt in her hair on and her back amusing and cute.  She is fiercely protective and would do anything for her family.  She is equally comfortable playing video games or clubbing it up at night.  We also share a passion for musical theater.;Positive
My best friend is someone I met over 8 years ago. Despite our petty arguments, we always realize that we need each other more than it is worth it to hold grudges. We have so much in common that it's impossible for us to stay mad at one another. We share a similar sense of humor, similar taste in such things as movies, books, and music, and we both like to relax at home as much as we like to get dressed up and go out dancing. Having been through so much in the past 8 years-graduating from high school, going to college, moving away from home, rushing a sorority, graduating from college, applying to law school, student teaching, etc-there are few people who have been there for all of it, but my best friend has. ;Positive
A and I have been friends for 5 years. He is always there for me when I am having a meltdown about something. We can get into a big fight and still continue being friends. One time he told me he hated me and never wanted to talk to me again. Yet, the very next day we were airtight again. This is why we are such good friends. Our ability to not carry a grudge and love one another no matter what helps us to stay close.;Positive
My best friend and I have a lot in common. We have similar interests.  She is a kind-hearted and generous person.  She is fun and genuine.;Positive
Me and my best friend used to spend all of our time together. We'd go to the movies in the middle of the night, then walk to the grocery store by my house and wander around it for a while before finally going home. We could stay up all night not saying much at all and understanding each other perfectly. We even have nicknames for each other, I am her garbanzo bean, and she is my weasel ball.;Positive
My best friend is more like my sister. We have never fought. We are now college roomates and i love every minute of it. We have several inside jokes that only each other understands. She is my best friend and I can trust her with anything.;Positive
My best friend always is there to talk and is always understanding about what's going on in my life. We've known each other since college where we met at the television station. He has the same interests as I do and is always willing to go to sporting events with me. Finally, he helps me out with all of my women issues which I seem to have hundreds of. ;Positive
Friends since early childhood, we have fought many times over the years but understand one another. After being we friends for over 2 decades we understand that we each have similar values and similar outlooks when it comes to new people or situations.  My best friend is someone I can count on to be there for me without questions regardless of the situation.;Positive
My best friends are with me for ten years. Until now I have never not in the least disappointed. Them by two. One with different side of the state come to me only because they were on the phone zvucilo that place. Very like one another;Positive
My best friend is very easy to talk to and even though we seldom get together there's never an awkward moment when we meet.  She has a lot of funny stories to share, but she also likes to hear my stories.  Our conversations never feel competitive, just fun.  Our lives are very different but I guess our personalities have enough in common to make us friends.  I look forward to getting together with her and have gone through many inconveniences to do so.;Positive
I have been best friends with Jessica for about seven years now. She has always been there to help me out. She was even in the delivery room with me when I had my daughter. She was also one of the Bridesmaids in my wedding. She lives six hours away, but if we need each other we'll make the drive without even thinking about it.;Positive
she's always there for me anytime and anywhere just give her a call. we stick together through thick and thin,money don't matters. she accept me for what i am,my good and bad attitudes,habits,anything. i love her with all my heart and want our friendship to last forever. i wanna grow old with her and watched our grandchildren grow and be friends the way we were.;Positive
History seems to be the glue of a friendship. No matter what, it seems as though your friends know where you came from and know where you going. It is the reason why there is such a strong bond. The fact that no matter where you are in this world, you will always have that one someone to turn to. ;Positive
My best friend is trustworthy and can keep a confidence.  He is also a man of his word and commitment.  He is sensitive to other persons and situations. My best friend is the kind of person who will give you his last dime and the shirt off of his back.  My best friend is my husband, he loves me for what he can give to me and not for what he could take from me, and I call that godly love. He shares in my successes and in my failures, he is a constant companion and encourager, he celebrates my life and he has seen me at my best and worst and still cares for me.;Positive
My best friend and I have been together since we were kids. He was also my classmate. We were very much close with one another as we often invited each other to our homes. We will either play or just watch some movies. On special occasions, both our families will visit one another which is why he and I are very close. I always have a place to express my feelings whenever I feel down or mad. He was always there to support me emotionally and he was always there physically for me each time I needed him. A best friend, I can always count on and trust. Unfortunately, he passed away a few years ago due to an illness which shocked all of our families. I'll definitely miss him terribly up to this day.;Positive
My best friend is my girlfriend Susan. She is always there for me. If I ever feel blue, I know I can call on her and she will cheer me up. Susan is very upbeat. She is one of those people who look at the glass as half full instead of half empty. We have been friends for over 45 years and I don't ever see her not being in my life. ;Positive
"My best friend and I have been best friend for about 16 years off and on.  We don't get to see each other all that much because of college and little free time, but when we do hang out, we can pick up where we left off.  There is no """"drama"""" in our relationship.  We are just friends who can talk without having to worry about what the other really thinks.  Since we don't see each other that often, we don't have time to get on each other' nerves, and we are excited to spend time together when we get the chance. """"";Positive
My best friend never gives me a hard time about anything. If we don't see each other or talk to each other for a while, it's not like anyone's mad. We could not see each other for years, and if we met up it would be like nothing happened. A lot of people in life can make you feel like your being judged, and most of the time make you feel that what your doing isn't good enough. My best friend is one of the few people I don't feel that way around.;Positive
"My best friend is someone whom I've known for 32 years.  Like the relationship between Jack Aubrey and Stephen Maturin in the seafaring series by Patrick O'Brian, """"my particular friend"""" is someone who operates from absolute integrity, honesty, and sincerity.  She has never lied to me, has never used me to further her own purposes, and has never canceled a """"date"""" with me because she was asked out at the last minute by a male.  Although she is one of the smartest people I know (and I know a lot of really smart people), she is not arrogant, bombastic, nor overbearing in how she shares what she knows.  Furthermore, she is incredibly funny.  Almost everytime we are together, we laugh hysterically.  Lastly, she is a """"every weather friend.""""  When times are tough, she's right there with me and offers me the most valuable thing a human being can offer another human being:  a listening, uncritical heart.  When I recently had an unexpected and very scary surgery, she immediately, with no hesitiation, was willing to rearrange her schedule to be with me in whatever way I needed.  If everyone in the world operated like her, we would have a very peaceful, happy world.""""";Positive
My best friend is very helpful to me. I know too that she trusts me because she confides in me whenever she has something on her mind. When she has problems, she does not hesitate to ask for my help. Same with me, whenever Im stuck somewhere, she's the first person that comes to my mind for help. If I don't call her for a few days, she calls me up to just check on me. No wonder we've been friends for more than ten years now.;Positive
My best friend is very loyal. They always have something to say that makes me feel better about my day. She also helps me out when i need someone to tell my troubles to. I appretiate the honesty she gives me when i know i am wrong and she tells me. We talk very often and are actually quite different but that makes us better friends i think.;Positive
She was always there for me whenever I needed her.  Her praises would be sincere and to the point.  She was my best critic too.  She would tell me on the face if she did not like something about me.  I always compared her to a sieve.  My bad qualities would glare at me from above the sieve and good qualities would be sifted through!  Aren't good friends supposed to do just that?  Friends are God's own gifts on earth.  Our friendship has lived through toughest times as also fun times like shopping, movies, eating and enjoying to the hilt.;Positive
My best friend is my boyfriend. He became my best friend after my last best friend left me for alcohol and drugs, and while I was hurting, he picked up the pieces and helped me to move past the fact that my past friend didn't want me around anymore. He listened to my cry, and held me when I needed comfort. He shopped with me for clothes and took me to get my hair done. We ate chocolate cake and stayed in bed watching movies. I never knew that romance could be mixed with friendship, but he taught me that the most important part of being inlove was also being best friends too. I appreciate how devoted he was to proving me that he wouldn't leave me like she did.;Positive
My best friend is always supportive and really comes through for me when I need her.  I am always amazed by what she\u2019s willing to do to look out for me.  We have been friends for more than 12 years, and I count her as one of the true blessings in my life.  While we don\u2019t talk on the phone all that regularly, or even live near each other anymore we remain close.  I have found that friendships like this are truly rare and a thing to be appreciated.;Positive
My friend Maria is my best friend. She knows me as I am and accepts me as I am;Positive
What I like the most about my best friend is that she always has time for me when she senses that I need her the most.  She can make me cry and then turn around and make me laugh so hard I can't catch my breath. We have been friends for 28 years and I still learn new things about her and our friendship.  She once told me that if she and her husband ever won the lottery and moved from the neighborhood that my husband and I would have to come and check out houses in the new neighborhood because she would give us a new house there so we could always be neighbors.  She never judges and never intrudes but will gently ask a question or tow if she senses something is not right in my world.  If I don't want to tell her right then, that's okay with her and she doesn't push.  I really hope that I am as good a friend to her as she is to me.;Positive
My bestfriend and I have known each other for over 20 years.  I would not trade him for the world. He knows all of my faults and he still loves me. We even tend to have the habit of finishing each other's sentences.  He is like another extension of my body.;Positive
My best friend has always been there for me. I have known her for over 10 years, and she knows EVERYTHING about me. She's always there to give me advice, and is my rock when my world is crumbling down. We go on trips, and have the most fun together. She shares the same humor as me, and we always make friends wherever we go. ;Positive
My best friend and I get along very well.  We have never had a fight over anything, and even if we disagree, we take the time to talk things over and try to reach an agreement we are both happy with.  I love spending time with my best friend, we always have fun together, even when there is nothing to do.  One of the reasons we get along so well is that we both have a very weird sense of humor.  I can rely on her for anything, and I hope she feels the same about me.;Positive
I have known my best friend for over 30 years. She is always available when I need her. She gets me and my situations without me having to provide details about things I feel. We have experienced many joys and many heartaches along the way and it has just brought our friendship closer. Our children are not the same age yet we find so many interesting things to do to bring our families together. I do not know how I would have made it through this far without her love and guidance.;Positive
